apartado,tipo,bien,bien_limpio,cluster,item,cluster_6947,cluster_2275,cluster_1015,cluster_684,cluster_405,cluster_236,cluster_137,cluster_85,cluster_50,cluster_29,cluster_21,cluster_16,cluster_15,cluster_12,cluster_8,cluster_7,cluster_5,cluster_4,cluster_3,cluster_2,cluster_1
Equipo,Equipo,"COMPUTADORA THIN CLIENT, CON MONITOR MARCA HP, MODELO V193, N/S:3CQ5043Z35 INCLUYE MOUSE Y TECLADO.",computadora thin client monitor marca hp modelo v nscqz incluye mouse teclado,1,computadora,891,1467,123,129,83,83,83,83,19,19,19,1,0,1,1,0,0,0,0,0,0
Equipo,Equipo,"COMPUTADORA THIN CLIENT, CON MONITOR MARCA HP, MODELO V193, N/S:3CQ5043TGQ INCLUYE MOUSE Y TECLADO.",computadora thin client monitor marca hp modelo v nscqtgq incluye mouse teclado,1,computadora,891,1467,123,129,83,83,83,83,19,19,19,1,0,1,1,0,0,0,0,0,0
Mobiliario,Mobiliario,HVM SILLA PARA OFICINA METREX BAYSIDE,hvm silla oficina metrex bayside,0,hvm,1926,746,746,372,372,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,"DE .60 X .60X .55 ENCHAPADAS EN CAOBA, CORTE PLUMA.",x x enchapadas caoba corte pluma,0,x,377,2006,7,336,336,167,23,19,1,1,0,2,2,2,0,1,1,0,0,0,0
Mobiliario,Mobiliario,REFRIGERADOR VERTICAL MARCA OJEDA MODELO RVP-500,refrigerador vertical marca ojeda modelo rvp,0,refrigerador,1351,656,207,0,1,32,62,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,"KIT DE PRESION PARA RADIADOR UNIVERSAL, FACTURA: 3725-D, CON FECHA 01/12/2014, PROVEEDOR: COMERCIALI",kit presion radiador universal factura d fecha proveedor comerciali,0,kit,2788,106,340,135,171,85,85,0,22,5,12,12,12,0,1,0,0,0,0,0,0
Equipo,Equipo,"LABORATORIO LIMPIEZA Y PRUEBA 8 INYECTORES C/GABINETE, FACTURA: 3725-D, CON FECHA 01/12/2014, PROVEE",laboratorio limpieza prueba inyectores cgabinete factura d fecha provee,0,laboratorio,1216,116,209,135,171,85,85,0,22,5,12,12,12,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,BANCO PARA DIBUJO XIAN NEGRA,banco dibujo xian negra,0,banco,4157,1967,347,12,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"AUDIFONO HD 205, DINAMICOS SUPRA-AURALES DE TAMAÑO MEDIANO EQUIPADOS CON UN AURICULAR GIRATORIO PARA",audifono hd dinamicos supraaurales tamaño mediano equipados auricular giratorio,0,audifono,1715,1321,139,64,129,64,25,5,5,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,SISTEMA DE COLABORACION DE WIRELESS.,sistema colaboracion wireless,0,sistema,1154,935,935,93,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,Reloj checador de asistencia,reloj checador asistencia,0,reloj,1157,1855,927,184,369,184,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"COMPUTADORA DE ESCRITORIO, CON MONITOR PRODISPLAY MARCA HP, MODELO P201, N/S: 6CM4501BNF, INCLUYE TE",computadora escritorio monitor prodisplay marca hp modelo p n cmbnf incluye,1,computadora,1498,1467,123,129,83,83,83,83,19,19,19,1,0,1,1,0,0,0,0,0,0
Equipo,Equipo,"TALADRO PROFESIONAL DEWALT 3/8"", 480W (PIFI-2012).",taladro profesional dewalt w pifi,0,taladro,1385,802,428,213,213,213,7,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,COMPUTADORA POCESADOR COREL I5 4590 16GB 1TB WINDOWS 8.1 PRO INCLUYE TECLADO Y MOUSE,computadora pocesador corel i gb tb window pro incluye teclado mouse,1,computadora,2233,1546,24,32,132,26,6,5,5,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,"Archivero de 4 gavetas, T/Oficio, fabricado en melamina de 28 y 26 mm color caoba con negro  correde",archivero gavetas toficio fabricado melamina mm color caoba negro correde,4,archivero,2902,1117,190,74,131,131,131,65,32,10,10,10,10,10,0,1,1,0,0,0,0
Equipo,Equipo,TABLET GALAXY 10.5 16 GB 8MP,tablet galaxy gb mp,1,tablet,748,414,565,565,282,25,6,5,5,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"Toldo para paredes, desmontable, en color blanco.",toldo paredes desmontable color blanco,4,toldo,1791,1423,499,499,249,124,124,11,24,11,6,6,6,6,6,6,1,0,0,0,0
Mobiliario,Mobiliario,1PZA. OHE-53 SILLA SECRETARIAL ASIENTO NEGRO MALLA NEGRA,pza ohe silla secretarial asiento negro malla negra,0,pza,3329,2066,849,17,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"NEGATOSCOPIO SENCILLO DE ACERO INOXIDABLE, PANTALLA DE ACRILICO BLANCO, LUZ HALOGENA, APAGADOR DE CO",negatoscopio sencillo acero inoxidable pantalla acrilico blanco luz halogena apagador co,0,negatoscopio,576,940,670,670,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"Disco duro alto rendimiento 3 tb, 7200 rpm, sata 6 gbs",disco duro alto rendimiento tb rpm sata gb,1,disco,1720,7,64,261,36,148,11,23,23,23,11,11,11,11,2,2,2,2,2,0,0
